F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0   568     1  0  80   0 - 10863 ep_pol ?        00:00:00 systemd-logind
5 S     0   571     1  0  80   0 -  4823 poll_s ?        00:00:00 bluetoothd
5 S   101   637     1  0  80   0 - 63961 poll_s ?        00:00:00 rsyslogd
5 S     0   639     2  0  70 -10 -     0 rfcomm ?        00:00:00 krfcommd
4 S     0   765     1  0  80   0 - 82559 poll_s ?        00:00:00 ModemManager
5 S     0   804     1  0  80   0 - 86657 poll_s ?        00:00:00 NetworkManager
4 S     0   820     1  0  80   0 - 70281 poll_s ?        00:00:00 polkitd
1 S     0   851     1  0  80   0 -  3848 poll_s ?        00:00:00 upstart-socket-
4 S     0   854   804  0  80   0 -  2558 poll_s ?        00:00:00 dhclient
1 S     0   860     1  0  80   0 -  3904 poll_s ?        00:00:00 upstart-file-br
4 S     0   909     1  0  80   0 -  5372 n_tty_ tty4     00:00:00 getty
4 S     0   913     1  0  80   0 -  5372 n_tty_ tty5     00:00:00 getty
4 S     0   919     1  0  80   0 -  5372 n_tty_ tty2     00:00:00 getty
4 S     0   920     1  0  80   0 -  5372 n_tty_ tty3     00:00:00 getty
4 S     0   923     1  0  80   0 -  5372 n_tty_ tty6     00:00:00 getty
1 S   106   993     1  0  80   0 -  9286 poll_s ?        00:00:00 kerneloops
1 S     0   996     1  0  80   0 -  5914 hrtime ?        00:00:00 cron
5 S     0   998     1  0  80   0 -  4797 hrtime ?        00:00:00 irqbalance
1 S   109  1002     1  0  80   0 - 90331 poll_s ?        00:00:00 whoopsie
1 S     0  1046     1  0  80   0 -  1092 poll_s ?        00:00:00 acpid
4 S     0  1168     1  0  80   0 - 18871 poll_s ?        00:00:00 cups-browsed
5 S     0  1178     1  0  80   0 - 66167 futex_ ?        00:00:00 prltoolsd
5 S     0  1184  1178  0  80   0 -  8820 hrtime ?        00:00:00 prltoolsd
4 S     0  1190  1178  0  80   0 - 41107 tg_sub ?        00:00:00 prlshprint
4 S     0  1216     1  0  80   0 -  5372 n_tty_ tty1     00:00:00 getty
4 S     0  1253     1  0  80   0 - 87895 poll_s ?        00:00:00 lightdm
4 S     0  1271     1  0  80   0 - 71867 poll_s ?        00:00:00 accounts-daemon
4 S     0  1333  1253  2  80   0 - 66477 poll_s tty7     00:00:34 Xorg
4 S     0  1341  1253  0  80   0 - 42074 wait   ?        00:00:00 lightdm
1 S     0  1342     2  0  80   0 -     0 kaudit ?        00:00:00 kauditd
4 S  1000  1351  1341  0  80   0 - 10450 poll_s ?        00:00:00 init
1 S  1000  1417  1351  0  80   0 - 10037 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1426  1351  0  80   0 -  5947 poll_s ?        00:00:00 upstart-event-b
0 S  1000  1430  1351  0  80   0 - 19918 poll_s ?        00:00:00 window-stack-br
5 S  1000  1434  1351  0  80   0 - 56222 poll_s ?        00:00:00 gnome-keyring-d
1 S  1000  1453  1351  0  80   0 -  5949 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000  1456  1351  0  80   0 -  8099 poll_s ?        00:00:00 upstart-file-br
1 S  1000  1457  1351  0  80   0 -  5949 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000  1459  1351  0  80   0 - 90923 poll_s ?        00:00:05 ibus-daemon
0 S  1000  1474  1351  0  80   0 - 139918 poll_s ?       00:00:00 bamfdaemon
0 S  1000  1476  1351  0  80   0 - 49571 poll_s ?        00:00:00 gvfsd
0 S  1000  1479  1351  0  80   0 - 203869 poll_s ?       00:00:00 unity-settings-
0 S  1000  1485  1351  0  80   0 - 162020 poll_s ?       00:00:00 hud-service
0 S  1000  1489  1351  0  80   0 - 86416 futex_ ?        00:00:00 gvfsd-fuse
0 S  1000  1492  1459  0  80   0 - 70651 poll_s ?        00:00:00 ibus-dconf
0 S  1000  1493  1351  0  80   0 - 84394 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1494  1459  0  80   0 - 122280 poll_s ?       00:00:01 ibus-ui-gtk3
0 S  1000  1495  1351  0  80   0 - 249043 poll_s ?       00:00:00 gnome-session
0 S  1000  1498  1351  0  80   0 - 102105 poll_s ?       00:00:00 ibus-x11
0 S  1000  1501  1351  0  80   0 - 145818 poll_s ?       00:00:02 unity-panel-ser
0 S  1000  1508  1493  0  80   0 - 10371 ep_pol ?        00:00:03 dbus-daemon
4 S 65534  1516   804  0  80   0 -  9174 poll_s ?        00:00:00 dnsmasq
0 S  1000  1531  1351  0  80   0 - 31261 poll_s ?        00:00:01 at-spi2-registr
4 S     0  1581     1  0  80   0 - 59839 poll_s ?        00:00:00 upowerd
0 S  1000  1619  1351  0  80   0 - 147109 poll_s ?       00:00:00 indicator-keybo
0 S  1000  1627  1351  0  80   0 - 84203 poll_s ?        00:00:00 indicator-messa
0 S  1000  1631  1351  0  80   0 - 66342 poll_s ?        00:00:00 indicator-bluet
0 S  1000  1637  1351  0  80   0 - 70040 poll_s ?        00:00:00 indicator-power
0 S  1000  1639  1351  0  80   0 - 291261 poll_s ?       00:00:00 indicator-datet
0 S  1000  1642  1351  0  80   0 - 138677 poll_s ?       00:00:00 indicator-sound
0 S  1000  1653  1351  0  80   0 - 112192 poll_s ?       00:00:00 indicator-print
0 S  1000  1661  1351  0  80   0 - 223863 poll_s ?       00:00:00 indicator-sessi
0 S  1000  1701  1351  0  80   0 - 71687 poll_s ?        00:00:00 indicator-appli
1 S  1000  1705  1351  8  69 -11 - 110227 poll_s ?       00:02:14 pulseaudio
4 S   107  1709     1  0  81   1 - 42229 poll_s ?        00:00:00 rtkit-daemon
0 S  1000  1723  1351  0  80   0 - 105881 poll_s ?       00:00:00 gnome-screensav
0 S  1000  1762  1351  0  80   0 - 120685 poll_s ?       00:00:00 evolution-sourc
0 S  1000  1765  1459  0  80   0 - 51719 poll_s ?        00:00:01 ibus-engine-sim
4 S     0  1805     1  0  80   0 -  1111 wait   ?        00:00:00 sh
0 S     0  1812  1805  0  80   0 -  3862 poll_s ?        00:00:00 initctl
0 S  1000  1949  1351  0  80   0 - 108089 poll_s ?       00:00:00 notify-osd
0 S  1000  1969  1351  0  80   0 - 219741 poll_s ?       00:00:00 evolution-calen
0 S  1000  1975  1495  1  80   0 - 272028 poll_s ?       00:00:20 compiz
0 S  1000  1979  1351  0  80   0 - 44576 poll_s ?        00:00:00 dconf-service
4 S   113  2003     1  0  80   0 - 75370 poll_s ?        00:00:00 colord
0 S  1000  2043  1495  0  80   0 - 85543 poll_s ?        00:00:00 polkit-gnome-au
0 S  1000  2044  1495  0  80   0 - 103443 poll_s ?       00:00:00 unity-fallback-
0 S  1000  2050  1495  0  80   0 - 150387 poll_s ?       00:00:00 nm-applet
0 S  1000  2051  1495  0  80   0 - 326124 poll_s ?       00:00:03 nautilus
0 S  1000  2052  1495  1  80   0 - 137272 poll_s ?       00:00:30 orca
0 S  1000  2053  1495  0  80   0 - 84624 futex_ ?        00:00:00 prlcc
1 S  1000  2067  1351  0  80   0 - 29758 tg_sub ?        00:00:05 prl_wmouse_d
0 S  1000  2074  2053  0  80   0 - 64555 futex_ ?        00:00:00 prldnd
0 S  1000  2075  2053  0  80   0 - 46118 futex_ ?        00:00:00 prlcp
0 S  1000  2076  2053  0  80   0 - 96761 futex_ ?        00:00:01 prlsga
0 S  1000  2106  1351  0  80   0 - 14975 poll_s ?        00:00:00 gconfd-2
0 S  1000  2290  1351  0  80   0 - 163223 poll_s ?       00:00:00 gvfs-udisks2-vo
4 S     0  2293     1  0  80   0 - 92848 poll_s ?        00:00:00 udisksd
0 S  1000  2315  1351  0  80   0 - 50473 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  2319  1351  0  80   0 - 71901 poll_s ?        00:00:00 gvfs-afc-volume
