UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root      1433     2  1433  0    1 18:00 ?        00:00:00 [kworker/1:2]
jonas     1434  1351  1434  0    5 15:40 ?        00:00:00 gnome-keyring-daemon --start
jonas     1434  1351  1436  0    5 15:40 ?        00:00:00 gnome-keyring-daemon --start
jonas     1434  1351  1437  0    5 15:40 ?        00:00:00 gnome-keyring-daemon --start
jonas     1434  1351  1438  0    5 15:40 ?        00:00:00 gnome-keyring-daemon --start
jonas     1434  1351  1444  0    5 15:40 ?        00:00:00 gnome-keyring-daemon --start
jonas     1453  1351  1453  0    1 15:40 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
jonas     1456  1351  1456  0    1 15:40 ?        00:00:00 upstart-file-bridge --daemon --user
jonas     1457  1351  1457  0    1 15:40 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
jonas     1459  1351  1459  0    3 15:40 ?        00:00:04 /usr/bin/ibus-daemon --daemonize --xim
jonas     1459  1351  1472  0    3 15:40 ?        00:00:07 /usr/bin/ibus-daemon --daemonize --xim
jonas     1459  1351  1490  0    3 15:40 ?        00:00:00 /usr/bin/ibus-daemon --daemonize --xim
jonas     1474  1351  1474  0    4 15:40 ?        00:00:01 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
jonas     1474  1351  1546  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
jonas     1474  1351  1552  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
jonas     1474  1351  1571  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
jonas     1476  1351  1476  0    2 15:40 ?        00:00:00 /usr/lib/gvfs/gvfsd
jonas     1476  1351  1481  0    2 15:40 ?        00:00:00 /usr/lib/gvfs/gvfsd
jonas     1479  1351  1479  0    4 15:40 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
jonas     1479  1351  1538  0    4 15:40 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
jonas     1479  1351  1545  0    4 15:40 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
jonas     1479  1351  1880  0    4 15:40 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
jonas     1485  1351  1485  0    4 15:40 ?        00:00:01 /usr/lib/x86_64-linux-gnu/hud/hud-service
jonas     1485  1351  1548  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
jonas     1485  1351  1556  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
jonas     1485  1351  1656  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
jonas     1489  1351  1489  0    5 15:40 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
